,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
519,L챕o Bonatini ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
520,Jefferson Lerma ,미드필더,33,,,54,59%,9,57,51,29,,270,173,144,57,51,,0,2,"1,398",42.36,2,6,0%,0,96,11,1,42,1,1,1,0,0,1,0.03,0,0,30,2,7%,0,,,,,,,
521,Thakgalo Leshabela ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
522,Dylan Levitt ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
523,Adam Lewis ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
524,Lewis Cook ,미드필더,27,,,27,52%,4,17,15,8,,109,74,107,12,14,,0,0,720,26.67,0,8,13%,5,42,5,0,23,0,0,0,0,0,0,0,0,0,9,2,22%,0,,,,,,,
525,Stephan Lichtsteiner ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
526,Anders Lindegaard ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
527,Victor Lindel철f ,수비수,35,12,32,29,52%,1,26,122,58,0,215,135,78,96,50,1,0,0,"2,094",59.83,0,2,0%,2,75,6,0,22,0,1,1,0,0,0,,,,,,,,,,,,,,
528,Jesse Lingard ,미드필더,22,,,15,53%,10,3,0,0,,37,41,72,2,12,,0,0,391,17.77,1,7,0%,4,4,3,0,28,0,1,0,0,1,0,0.05,0,0,22,6,27%,2,,,,,,,
529,Fernando Llorente ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
530,Hugo Lloris ,골키퍼,21,6,21,,,,,,,,,,,,,0,2,0,474,22.57,,,,,122,0,0,0,,0,,,,,,,,,,,,81,1,10,12,2,97,150
531,Giovani Lo Celso ,미드필더,28,,,51,57%,6,9,17,8,,123,136,145,8,22,,0,2,965,34.46,1,57,21%,8,42,6,0,28,0,0,0,0,0,0,0,0,0,18,3,17%,1,,,,,,,
