,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
720,Pedro Porro ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
721,Pote ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
722,Ian Poveda-Ocampo ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
723,Joe Powell ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
724,Dennis Praet ,미드필더,27,,,33,55%,8,17,12,5,,74,63,80,6,13,,0,2,521,19.3,3,21,10%,2,21,2,0,18,1,1,0,1,0,1,0.04,0,0,16,3,19%,0,,,,,,,
725,Sebastian Pr철dl ,수비수,1,0,0,0,0%,0,0,4,3,0,3,3,2,3,1,0,0,0,11,11,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
726,Davy Pr철pper ,미드필더,35,,,64,55%,10,38,33,15,,236,156,146,28,22,,2,2,"1,784",50.97,4,39,13%,3,70,4,0,31,0,1,1,0,0,0,0.03,0,0,29,8,28%,2,,,,,,,
727,Marc Pugh ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
728,Arnau Puigmal ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
729,Teemu Pukki ,공격수,36,,,12,,24,6,6,2,,,,,,,,,3,529,14.69,4,8,,,,3,0,23,17,11,0,9,2,1,0.31,2,0,80,35,44%,11,,,,,,,
730,Christian Pulisic ,미드필더,25,,,23,48%,15,6,7,4,,79,128,190,20,45,,0,4,668,26.72,6,35,11%,4,19,0,0,14,3,9,2,4,3,1,0.36,0,0,63,26,41%,8,,,,,,,
731,Jason Puncheon ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
732,Ignacio Pussetto ,미드필더,7,,,7,57%,0,3,3,1,,10,12,16,1,4,,0,0,29,4.14,0,4,25%,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
733,Bojan Radulovic Samoukovic ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
734,Rafa Mir ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
735,Rafael Camacho ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
736,Sean Raggett ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
737,Largie Ramazani ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
738,Sandro Ram챠rez ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
739,Kayne Ramsay ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
740,Aaron Ramsdale ,골키퍼,37,5,62,,,,,,,,,,,,,0,1,1,945,25.54,,,,,203,0,0,0,,0,,,,,,,,,,,,129,1,17,20,6,185,288
741,Aaron Ramsey ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
742,Darren Randolph ,골키퍼,2,0,5,,,,,,,,,,,,,0,0,0,36,18,,,,,16,0,0,0,,0,,,,,,,,,,,,6,0,0,0,0,4,14
743,Marcus Rashford ,공격수,31,,,13,,18,10,16,9,,,,,,,,,7,941,30.35,9,33,,,,3,0,21,13,17,1,13,3,6,0.55,6,0,95,44,46%,13,,,,,,,
744,Nathan Redmond ,미드필더,32,,,49,59%,14,16,10,1,,203,176,196,18,45,,0,4,"1,021",31.91,6,41,17%,4,38,2,0,23,5,4,0,3,1,2,0.13,0,0,59,21,36%,3,,,,,,,
745,Harrison Reed ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
746,Winston Reid ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
747,Panagiotis Retsos ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
748,Dominic Revan ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
749,Jordan Rhodes ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
750,Ricardo Pereira ,수비수,28,10,27,119,57%,3,49,74,38,0,171,257,215,42,48,0,0,2,"1,572",56.14,5,60,15%,4,59,1,0,45,0,3,0,2,1,0,,,,,,,,,,,,,,
751,Declan Rice ,미드필더,38,,,116,52%,8,77,51,24,,312,223,161,52,34,,0,3,"1,733",45.61,1,28,39%,1,128,6,0,41,2,1,0,1,0,2,0.03,0,0,31,9,29%,1,,,,,,,
752,Taylor Richards ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
753,Lewis Richardson ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
754,Richarlison ,공격수,36,,,70,,24,12,40,29,,,,,,,,,3,788,21.89,13,56,,,,8,0,43,17,13,4,3,5,3,0.36,0,0,90,32,36%,5,,,,,,,
755,Diego Rico ,수비수,27,5,38,61,64%,4,84,60,27,0,168,129,108,33,28,0,0,4,"1,085",40.19,5,173,25%,2,57,6,0,18,2,0,0,0,0,1,,,,,,,,,,,,,,
756,Jairo Riedewald ,미드필더,17,,,14,71%,2,17,19,8,,47,27,22,3,5,,0,0,329,19.35,0,6,17%,1,16,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0%,0,,,,,,,
757,Matt Ritchie ,미드필더,18,,,22,68%,9,14,27,14,,78,67,67,21,19,,0,1,526,29.22,4,99,29%,0,23,4,0,26,0,2,0,0,2,1,0.11,0,0,26,8,31%,1,,,,,,,
758,Roberto Firmino ,공격수,38,,,37,,29,7,11,9,,,,,,,,,8,"1,161",30.55,10,9,,,,0,0,29,6,9,3,3,3,4,0.24,0,0,99,39,39%,20,,,,,,,
759,Haydon Roberts ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
760,Andrew Robertson ,수비수,36,9,31,54,57%,7,38,58,25,0,210,122,116,33,34,0,0,12,"2,492",69.22,14,210,20%,2,84,2,0,18,2,2,2,0,0,0,,,,,,,,,,,,,,
761,Callum Robinson ,공격수,16,,,6,,3,7,3,3,,,,,,,,,1,138,8.63,1,15,,,,1,0,11,1,1,0,1,0,0,0.06,0,0,12,4,33%,1,,,,,,,
762,Roderick Miranda ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
763,Rodrigo ,미드필더,35,,,50,60%,4,26,32,19,,228,170,141,57,30,,0,2,"2,579",73.69,3,8,25%,2,171,8,0,43,0,3,1,2,0,0,0.09,0,0,24,9,38%,0,,,,,,,
764,Jay Rodriguez ,공격수,36,,,29,,12,5,11,6,,,,,,,,,1,464,12.89,1,15,,,,1,0,26,22,8,3,3,1,2,0.22,1,0,67,30,45%,11,,,,,,,
765,Jack Rodwell ,미드필더,1,,,0,0%,0,0,1,0,,1,0,1,0,1,,0,0,2,2,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
766,Marcos Rojo ,수비수,3,0,2,3,33%,0,0,6,4,0,7,6,6,2,2,0,0,0,46,15.33,0,3,0%,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
767,Jack Roles ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
768,Sergio Romero ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
769,Oriol Romeu ,미드필더,30,,,55,64%,5,34,30,11,,152,126,130,42,39,,0,0,"1,076",35.87,4,6,50%,1,46,5,0,39,1,0,0,0,0,0,0,0,0,8,0,0%,0,,,,,,,
770,Salom처n Rond처n ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
771,Danny Rose ,수비수,23,4,28,39,59%,1,18,41,19,0,95,113,82,20,18,0,2,0,837,36.39,1,45,22%,1,20,7,0,25,0,0,0,0,0,0,,,,,,,,,,,,,,
772,R첬ben Neves ,미드필더,38,,,62,53%,23,56,31,12,,303,128,120,29,27,,0,2,"2,023",53.24,3,34,24%,8,222,9,0,29,0,2,0,2,0,2,0.05,0,0,61,10,16%,0,,,,,,,
773,R첬ben Vinagre ,수비수,16,1,6,23,57%,1,11,15,5,0,45,58,58,7,10,0,0,0,242,15.13,2,30,30%,0,6,1,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,
774,John Ruddy ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
775,Antonio R체diger ,수비수,20,5,24,28,64%,3,16,56,29,0,141,96,69,57,39,1,1,0,"1,492",74.6,2,7,14%,3,113,3,0,19,0,2,2,0,0,0,,,,,,,,,,,,,,
776,Rui Patr챠cio ,골키퍼,38,13,40,,,,,,,,,,,,,0,2,0,734,19.32,,,,,281,0,0,0,,0,,,,,,,,,,,,91,2,5,19,7,127,283
777,Lukas Rupp ,미드필더,12,,,15,60%,1,15,2,1,,56,30,56,5,14,,0,0,265,22.08,1,3,0%,2,4,1,0,10,0,0,0,0,0,0,0,0,0,4,2,50%,1,,,,,,,
778,Will Russ ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
779,Mat Ryan ,골키퍼,38,9,54,,,,,,,,,,,,,0,0,0,"1,220",32.11,,,,,260,0,0,0,,0,,,,,,,,,,,,117,0,11,16,5,255,274
780,Ryan Sessegnon ,미드필더,6,,,6,67%,1,3,10,8,,18,18,15,6,5,,0,0,159,26.5,0,13,8%,0,4,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0%,0,,,,,,,
781,Allan Saint-Maximin ,공격수,26,,,13,,14,9,4,1,,,,,,,,,4,431,16.58,8,45,,,,0,0,18,3,3,1,2,0,2,0.12,0,0,46,21,46%,4,,,,,,,
782,Romain Sa챦ss ,미드필더,33,,,55,69%,5,55,121,66,,185,205,132,120,68,,0,1,"1,628",49.33,2,9,11%,1,134,10,1,43,2,2,1,0,1,0,0.06,0,0,24,8,33%,5,,,,,,,
783,Henri Saivet ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
784,Bukayo Saka ,미드필더,26,,,36,,4,12,11,6,,,,,,,,,5,675,25.96,6,67,,,,6,0,22,10,1,0,0,1,1,0.04,0,0,13,4,31%,1,,,,,,,
785,Mamadou Sakho ,수비수,14,0,21,7,71%,0,20,44,21,0,67,30,28,17,17,0,1,0,538,38.43,0,0,0%,0,28,1,1,3,0,0,0,0,0,0,,,,,,,,,,,,,,
786,Bakary Sako ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
787,William Saliba ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
788,Mbwana Samatta ,공격수,14,,,6,,5,1,6,2,,,,,,,,,0,172,12.29,1,3,,,,1,0,9,8,1,1,0,0,0,0.07,0,0,17,3,18%,3,,,,,,,
789,Austin Samuels ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
790,Robert S찼nchez ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
791,Max Sanders ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
792,Dion Sanderson ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
793,Philippe Sandler ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
794,Leroy San챕 ,미드필더,1,,,0,0%,1,0,0,0,,1,0,0,0,0,,0,0,7,7,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0%,0,,,,,,,
795,Matija Sarkic ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
796,Ismaila Sarr ,공격수,28,,,11,,14,18,6,3,,,,,,,,,4,492,17.57,9,99,,,,1,0,22,13,5,0,5,0,0,0.18,0,0,44,13,30%,6,,,,,,,
797,Christian Saydee ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
798,Fabian Sch채r ,수비수,22,4,37,39,54%,5,47,72,30,1,112,113,95,34,34,0,2,0,761,34.59,0,12,8%,1,94,5,0,29,2,2,0,1,1,0,,,,,,,,,,,,,,
799,Ezequiel Schelotto ,수비수,8,0,7,4,75%,2,7,13,7,0,25,19,24,6,2,0,0,0,121,15.13,0,15,7%,0,3,2,0,7,1,0,0,0,0,0,,,,,,,,,,,,,,
800,Jeffrey Schlupp ,미드필더,17,,,18,50%,6,13,10,6,,42,63,77,20,24,,0,1,314,18.47,2,9,22%,1,9,2,0,17,1,3,0,1,2,0,0.18,0,0,18,10,56%,2,,,,,,,
801,Kasper Schmeichel ,골키퍼,38,13,41,,,,,,,,,,,,,0,1,0,"1,033",27.18,,,,,248,2,0,0,,0,,,,,,,,,,,,96,2,8,14,12,159,241
802,Morgan Schneiderlin ,미드필더,15,,,31,71%,1,21,19,9,,55,52,48,17,11,,0,0,561,37.4,0,8,13%,1,54,4,1,18,0,0,0,0,0,0,0,0,0,6,0,0%,0,,,,,,,
803,Sean Longstaff ,미드필더,23,,,35,54%,7,19,20,7,,73,85,93,17,21,,1,1,631,27.43,2,33,24%,1,34,2,1,17,0,1,0,0,1,0,0.04,0,0,25,7,28%,0,,,,,,,
804,Ken Sema ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
805,Joel Senior ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
806,Meritan Shabani ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
807,Xherdan Shaqiri ,미드필더,7,,,1,0%,2,0,0,0,,15,9,14,3,4,,0,0,97,13.86,0,6,50%,0,8,0,0,1,1,1,0,0,1,0,0.14,0,0,4,1,25%,0,,,,,,,
808,Billy Sharp ,공격수,25,,,6,,3,1,2,2,,,,,,,,,2,212,8.48,5,11,,,,1,1,20,11,3,1,1,1,1,0.12,0,0,16,7,44%,5,,,,,,,
809,Luke Shaw ,수비수,24,7,15,34,53%,4,24,51,30,0,92,96,72,30,23,0,0,0,"1,143",47.63,1,38,24%,1,13,7,0,23,4,0,0,0,0,0,,,,,,,,,,,,,,
810,Jonjo Shelvey ,미드필더,26,,,29,66%,15,23,35,20,,139,67,78,17,13,,0,2,"1,044",40.15,7,89,25%,5,143,3,0,19,1,6,1,4,1,2,0.23,0,1,45,14,31%,1,,,,,,,
811,Sam Sherring ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
812,Djibril Sidib챕 ,수비수,25,4,30,83,53%,5,40,33,15,0,148,144,106,30,32,0,0,4,948,37.92,4,68,26%,5,54,3,0,24,2,0,0,0,0,0,,,,,,,,,,,,,,
813,Gylfi Sigurdsson ,미드필더,35,,,50,52%,20,37,15,3,,147,103,147,14,24,,1,3,"1,019",29.11,5,131,28%,3,47,3,0,34,2,2,0,2,0,1,0.06,1,0,46,14,30%,3,,,,,,,
814,David Silva ,미드필더,27,,,26,54%,15,13,5,1,,86,86,85,7,20,,0,10,"1,483",54.93,11,33,9%,12,30,0,0,20,3,6,0,1,5,1,0.22,0,2,47,18,38%,4,,,,,,,
815,Ellis Simms ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
816,Jack Simpson ,수비수,4,0,6,5,40%,1,2,12,4,0,18,14,12,4,2,0,1,0,93,23.25,0,0,0%,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
817,Josh Sims ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
818,Jerome Sinclair ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
819,Moussa Sissoko ,미드필더,29,,,39,64%,3,27,35,15,,204,121,144,26,26,,0,1,"1,246",42.97,1,23,9%,3,36,8,0,44,2,2,0,2,0,1,0.07,0,0,15,4,27%,3,,,,,,,
820,Melvin Sitti ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
821,Oliver Skipp ,미드필더,7,,,2,100%,0,0,0,0,,5,2,7,0,2,,0,0,38,5.43,0,0,0%,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
822,Regan Slater ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
823,Callum Slattery ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
824,Islam Slimani ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
825,William Smallbone ,미드필더,9,,,10,,2,1,1,1,,,,,,,,,2,206,22.89,0,5,,,,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0%,0,,,,,,,
826,Chris Smalling ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
827,Adam Smith ,수비수,24,3,40,47,68%,1,25,48,19,0,92,145,119,35,29,0,0,1,841,35.04,2,28,21%,0,26,7,0,25,2,0,0,0,0,0,,,,,,,,,,,,,,
828,Emile Smith Rowe ,미드필더,2,,,1,100%,0,1,2,2,,5,4,4,0,0,,0,0,35,17.5,0,1,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
829,Robert Snodgrass ,미드필더,24,,,29,55%,5,4,11,8,,101,94,118,15,27,,0,5,505,21.04,5,136,29%,3,17,4,0,20,4,5,0,0,5,1,0.21,0,0,21,10,48%,2,,,,,,,
830,Sokratis ,수비수,19,4,25,25,64%,2,17,67,39,1,71,100,62,59,28,0,1,0,"1,029",54.16,2,1,0%,1,70,6,0,19,1,2,0,2,0,1,,,,,,,,,,,,,,
831,Dominic Solanke ,공격수,32,,,8,,14,8,16,10,,,,,,,,,1,431,13.47,1,6,,,,1,0,15,4,3,1,2,0,2,0.09,0,0,32,8,25%,6,,,,,,,
832,Son Heung-Min ,공격수,30,,,23,,19,19,17,10,,,,,,,,,10,797,26.57,12,77,,,,0,1,17,17,11,1,6,4,3,0.37,0,0,81,38,47%,6,,,,,,,
833,Andreas S철ndergaard ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
834,Elias Sorensen ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
835,Pape Souar챕 ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
836,Tomas Soucek ,미드필더,13,,,29,52%,4,22,34,21,,48,108,69,71,40,,0,0,394,30.31,0,2,0%,0,15,0,0,11,0,3,2,0,1,0,0.23,0,0,20,8,40%,3,,,,,,,
837,횉aglar S철y체nc체 ,수비수,34,12,33,60,67%,0,43,151,73,1,195,202,117,109,64,0,0,1,"2,319",68.21,1,4,0%,0,111,4,1,30,1,1,1,0,0,0,,,,,,,,,,,,,,
838,Bayli Spencer-Adams ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
839,Julian Speroni ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
840,Jack Spong ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
841,Dennis Srbeny ,공격수,8,,,5,,0,0,1,1,,,,,,,,,0,18,2.25,0,0,,,,0,0,1,0,1,0,0,1,0,0.13,0,0,2,1,50%,0,,,,,,,
842,Jack Stacey ,수비수,19,1,27,21,52%,0,18,54,34,0,88,74,62,27,20,0,0,2,601,31.63,4,36,11%,1,28,2,0,10,1,0,0,0,0,0,,,,,,,,,,,,,,
843,Junior Stanislas ,미드필더,15,,,10,70%,7,4,5,3,,43,33,32,8,8,,0,0,261,17.4,0,37,19%,2,4,1,0,5,1,3,0,3,0,1,0.2,1,0,18,7,39%,0,,,,,,,
844,Richard Stearman ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
845,Jason Steele ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
846,Jed Steer ,골키퍼,1,0,0,,,,,,,,,,,,,0,0,0,2,2,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,1
847,Zack Steffen ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
848,Maarten Stekelenburg ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
849,Michael Stensgaard ,골키퍼,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0
850,Dale Stephens ,미드필더,33,,,73,60%,6,58,39,25,,230,108,129,19,22,,0,1,"1,675",50.76,2,4,0%,3,110,8,0,42,0,0,0,0,0,0,0,0,0,19,2,11%,0,,,,,,,
851,Dujon Sterling ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
852,Jamie Sterry ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
853,Steve Cook ,수비수,29,3,47,22,50%,4,44,151,76,1,112,153,93,115,66,0,0,0,"1,271",43.83,1,1,0%,0,78,6,1,16,1,1,1,0,0,1,,,,,,,,,,,,,,
854,Enda Stevens ,수비수,38,12,39,81,57%,7,35,59,22,0,226,192,186,31,32,0,2,4,"1,469",38.66,9,123,16%,2,70,7,0,39,2,2,1,0,1,0,,,,,,,,,,,,,,
